门店ID,门店版本ID,生效起始日期,生效截止日期,当前版本标记,门店名称,门店编码,POS门店编码,财务门店编码,外卖平台门店编码,品牌线,直营加盟类型,省份,城市,区域,店型,商圈,城市层级,面积_平方米,座位数,到店能力等级,开业日期,闭店日期,营业状态,是否90天内新店,新店标签,店长姓名,区域经理,门店类型
S00001,S00001_V1,2024-06-23,9999-12-31,1,南昌社区0001店,江南00001,POS000001,FN000001,WM000001,主品牌,加盟,江西,南昌,商业区,标准店,社区,二线,89,52,B,2024-06-23,,营业中,FALSE,非新店,赵一,钱一,社区店
S00002,S00002_V1,2021-07-01,9999-12-31,1,广州购物中心0002店,广广00002,POS000002,FN000002,WM000002,主品牌,加盟,广东,广州,商业区,快取店,购物中心,一线,46,6,C,2021-07-01,,营业中,FALSE,非新店,孙一,钱一,快取店
S00003,S00003_V1,2022-01-04,9999-12-31,1,上海CBD0003店,上上00003,POS000003,FN000003,WM000003,主品牌,直营,上海,上海,新兴区,标准店,CBD,一线,95,49,B,2022-01-04,,营业中,FALSE,非新店,李一,钱一,写字楼店
S00004,S00004_V1,2021-09-22,9999-12-31,1,福州购物中心0004店,福福00004,POS000004,FN000004,WM000004,主品牌,直营,福建,福州,新兴区,快取店,购物中心,二线,26,1,C,2021-09-22,,营业中,FALSE,非新店,周一,钱一,快取店
S00005,S00005_V1,2023-04-10,9999-12-31,1,太原写字楼0005店,山太00005,POS000005,FN000005,WM000005,主品牌,加盟,山西,太原,老城区,标准店,写字楼,二线,81,40,B,2023-04-10,,营业中,FALSE,非新店,吴一,钱一,写字楼店
S00006,S00006_V1,2025-06-08,9999-12-31,1,杭州写字楼0006店,浙杭00006,POS000006,FN000006,WM000006,主品牌,直营,浙江,杭州,文教区,快取店,写字楼,新一线,37,1,C,2025-06-08,,营业中,FALSE,非新店,郑一,钱一,快取店
S00007,S00007_V1,2024-08-08,9999-12-31,1,深圳购物中心0007店,广深00007,POS000007,FN000007,WM000007,主品牌,直营,广东,深圳,老城区,标准店,购物中心,一线,148,34,B,2024-08-08,,营业中,FALSE,非新店,王一,钱一,商场店
S00008,S00008_V1,2024-12-15,9999-12-31,1,广州校园0008店,广广00008,POS000008,FN000008,WM000008,主品牌,加盟,广东,广州,核心区,标准店,校园,一线,118,56,B,2024-12-15,,营业中,FALSE,非新店,冯一,钱一,学校店
S00009,S00009_V1,2022-11-24,9999-12-31,1,武汉CBD0009店,湖武00009,POS000009,FN000009,WM000009,主品牌,加盟,湖北,武汉,文教区,快取店,CBD,新一线,49,4,C,2022-11-24,,营业中,FALSE,非新店,陈一,钱一,快取店
S00010,S00010_V1,2022-04-29,9999-12-31,1,哈尔滨购物中心0010店,黑哈00010,POS000010,FN000010,WM000010,主品牌,直营,黑龙江,哈尔滨,商业区,标准店,购物中心,二线,121,51,B,2022-04-29,,营业中,FALSE,非新店,褚一,钱一,商场店
S00011,S00011_V1,2021-11-07,9999-12-31,1,佛山校园0011店,广佛00011,POS000011,FN000011,WM000011,主品牌,加盟,广东,佛山,商业区,快取店,校园,新一线,36,1,C,2021-11-07,,营业中,FALSE,非新店,卫一,钱一,快取店
S00012,S00012_V1,2022-10-29,9999-12-31,1,海口社区0012店,海海00012,POS000012,FN000012,WM000012,子品牌-精品,直营,海南,海口,老城区,外卖店,社区,二线,29,0,C,2022-10-29,,营业中,FALSE,非新店,蒋一,钱一,外卖卫星店
S00013,S00013_V1,2022-03-13,9999-12-31,1,泉州交通枢纽0013店,福泉00013,POS000013,FN000013,WM000013,主品牌,直营,福建,泉州,文教区,标准店,交通枢纽,二线,86,45,B,2022-03-13,,营业中,FALSE,非新店,沈一,钱一,交通店
S00014,S00014_V1,2021-08-27,9999-12-31,1,南宁购物中心0014店,广南00014,POS000014,FN000014,WM000014,主品牌,加盟,广西,南宁,老城区,标准店,购物中心,二线,97,44,B,2021-08-27,,营业中,FALSE,非新店,韩一,钱一,商场店
