合同ID,加盟商ID,门店ID,门店类型,签约日期,合同期年数,到期日,分成模型,流水抽成率,年加盟费,装修标准,装修投入金额,设备投入金额,加盟费金额,保证金金额,总投资额,续约状态,合同状态
CTR00001,F0001,S00001,社区店,2024-05-24,3,2027-05-24,固定加盟费+流水分成,0.078,80000,B,525559,300000,150000,80000,975559,未到期,生效中
CTR00002,F0002,S00002,快取店,2021-05-30,3,2024-05-29,流水分成,0.049,0,A,783653,200000,350000,80000,1333653,已退出,已终止
CTR00003,F0003,S00005,写字楼店,2023-02-15,8,2031-02-13,纯固定加盟费,0.0,50000,B,528746,300000,250000,50000,1078746,未到期,生效中
CTR00004,F0004,S00008,学校店,2024-11-04,3,2027-11-04,流水分成,0.072,0,B,509710,300000,80000,50000,889710,未到期,生效中
CTR00005,F0005,S00009,快取店,2022-09-08,8,2030-09-06,流水分成,0.074,0,C,303648,150000,150000,80000,603648,未到期,生效中
CTR00006,F0006,S00011,快取店,2021-09-09,5,2026-09-08,固定加盟费+流水分成,0.08,30000,C,303086,450000,80000,80000,833086,未到期,生效中
CTR00007,F0007,S00014,商场店,2021-07-16,5,2026-07-15,流水分成,0.043,0,C,323655,450000,350000,50000,1123655,未到期,生效中
CTR00008,F0008,S00016,外卖卫星店,2021-03-31,5,2026-03-30,固定加盟费+流水分成,0.045,30000,C,283412,200000,250000,80000,733412,已退出,已终止
CTR00009,F0009,S00018,快取店,2025-04-14,3,2028-04-13,固定加盟费+流水分成,0.078,30000,C,298471,450000,80000,150000,828471,未到期,生效中
CTR00010,F0010,S00019,快取店,2023-11-10,5,2028-11-08,固定加盟费+流水分成,0.079,80000,C,283964,450000,250000,100000,983964,未到期,生效中
CTR00011,F0011,S00020,快取店,2023-08-10,8,2031-08-08,固定加盟费+流水分成,0.044,50000,C,316434,200000,350000,80000,866434,未到期,生效中
CTR00012,F0012,S00021,社区店,2025-02-13,3,2028-02-13,固定加盟费+流水分成,0.047,80000,B,487916,300000,250000,100000,1037916,未到期,生效中
CTR00013,F0013,S00022,商场店,2025-01-06,8,2033-01-04,固定加盟费+流水分成,0.05,120000,B,482259,300000,80000,50000,862259,未到期,生效中
CTR00014,F0014,S00028,学校店,2021-04-20,5,2026-04-19,纯固定加盟费,0.0,120000,B,488390,450000,250000,50000,1188390,已续约,生效中
CTR00015,F0015,S00029,商场店,2021-11-23,8,2029-11-21,固定加盟费+流水分成,0.061,30000,B,477626,300000,350000,150000,1127626,未到期,生效中
